			GMRT Grid Version 3.7
Longitude	Latitude	Distance (km)	Elevation (m)
-117.86747	-51.965237	0.0	-2793.3865
-118.02625	-51.94079	11.215744	-2452.1294
-118.18486	-51.91613	22.431488	-2723.765
-118.34329	-51.89126	33.647232	-2667.3076
-118.50155	-51.866173	44.862976	-2801.72
-118.65963	-51.840878	56.07872	-2855.5132
-118.817535	-51.81537	67.294464	-2842.0337
-118.97526	-51.78965	78.51021	-2924.5552
-119.1328	-51.763718	89.72595	-2961.9246
-119.29016	-51.737576	100.941696	-2912.3118
-119.447334	-51.711227	112.15744	-3171.1099
-119.60433	-51.684666	123.373184	-3010.5444
-119.76114	-51.657898	134.58893	-3095.1038
-119.91776	-51.63092	145.80467	-3073.6226
-120.074196	-51.603733	157.02042	-3074.0588
-120.230446	-51.57634	168.23616	-3133.6836
-120.386505	-51.54874	179.4519	-2970.347
-120.54237	-51.52093	190.66765	-3210.8303
-120.69805	-51.49292	201.88339	-3211.692
-120.85354	-51.4647	213.09914	-3212.403
-121.008835	-51.436275	224.31488	-3298.979
-121.16393	-51.407646	235.53062	-3303.672
-121.31884	-51.37881	246.74637	-3326.1042
-121.47355	-51.349773	257.9621	-3348.3098
-121.62806	-51.32053	269.17783	-3355.2583
-121.78238	-51.291084	280.39355	-3392.8242
-121.93649	-51.26144	291.60928	-3389.4866
-122.09041	-51.23159	302.825	-3415.925
-122.244125	-51.201538	314.04074	-3385.132
-122.397644	-51.171288	325.25647	-3471.021
-122.55096	-51.140835	336.4722	-3440.282
-122.70407	-51.11018	347.68793	-3411.3745
-122.85698	-51.079327	358.90366	-3570.7856
-123.00968	-51.048275	370.1194	-3503.8325
-123.16218	-51.017025	381.3351	-3632.8755
-123.31447	-50.985577	392.55084	-3636.2205
-123.46655	-50.95393	403.76657	-3626.2927
-123.61843	-50.922085	414.9823	-3745.1465
-123.7701	-50.890045	426.19803	-3598.0618
-123.92156	-50.85781	437.41376	-3815.8225
-124.07281	-50.82538	448.6295	-3748.23
-124.22385	-50.79275	459.8452	-3696.5176
-124.37468	-50.759926	471.06094	-3697.6082
-124.52529	-50.72691	482.27667	-3642.8398
-124.6757	-50.6937	493.4924	-3741.4377
-124.82589	-50.660297	504.70813	-3570.3745
-124.97586	-50.6267	515.9239	-3617.8625
-125.125626	-50.59291	527.13965	-3641.5293
-125.27517	-50.55893	538.3554	-3731.1006
-125.4245	-50.52476	549.57117	-3642.9685
-125.57361	-50.4904	560.7869	-3569.8323
-125.7225	-50.455845	572.0027	-3580.2969
-125.871185	-50.4211	583.21844	-3682.2407
-126.01964	-50.38617	594.4342	-3747.8347
-126.167885	-50.35105	605.64996	-3798.3936
-126.3159	-50.315742	616.8657	-3952.038
-126.4637	-50.280247	628.0815	-3865.0083
-126.61128	-50.244564	639.29724	-3838.1882
-126.75864	-50.208694	650.513	-3548.4795
-126.90577	-50.172638	661.72876	-3859.379
-127.05269	-50.1364	672.9445	-3999.4739
-127.19938	-50.09997	684.1603	-3965.2832
-127.34584	-50.063362	695.37604	-4031.4753
-127.49209	-50.026566	706.5918	-4064.2456
-127.6381	-49.989586	717.80756	-4034.5312
-127.7839	-49.952427	729.0233	-3870.4863
-127.92947	-49.91508	740.2391	-3846.7654
-128.0748	-49.877556	751.45483	-3898.535
-128.21992	-49.83985	762.6706	-3770.8665
-128.3648	-49.80196	773.88635	-3937.2505
-128.50948	-49.763893	785.1021	-3907.677
-128.6539	-49.725647	796.3179	-3891.6182
-128.79811	-49.687218	807.5336	-3920.6794
-128.9421	-49.648613	818.7494	-3884.7117
-129.08585	-49.60983	829.96515	-3954.4607
-129.22935	-49.570866	841.1809	-3929.863
-129.37265	-49.531727	852.39667	-4156.3364
-129.51572	-49.49241	863.6124	-4059.6592
-129.65854	-49.45292	874.8282	-4197.443
-129.80115	-49.41325	886.04395	-4096.036
-129.94351	-49.37341	897.2597	-4146.4966
-130.08565	-49.33339	908.47546	-4214.4443
-130.22755	-49.293198	919.6912	-4221.9556
-130.36923	-49.252834	930.907	-4309.577
-130.51068	-49.212296	942.12274	-4384.5464
-130.65189	-49.171585	953.3385	-4361.2734
-130.79286	-49.130703	964.55426	-4288.2793
-130.93361	-49.089653	975.77	-4376.043
-131.07413	-49.048428	986.9858	-4432.7153
-131.2144	-49.007034	998.20154	-4504.8823
-131.35445	-48.96547	1009.4173	-4500.911
-131.49426	-48.923737	1020.63306	-4649.616
-131.63383	-48.881832	1031.8488	-4574.3535
-131.7732	-48.839764	1043.0645	-4595.9277
-131.9123	-48.797523	1054.2802	-4733.3555
-132.05118	-48.75512	1065.4958	-4698.0913
-132.1898	-48.712547	1076.7115	-4579.0894
-132.32822	-48.66981	1087.9272	-4777.4062
-132.46638	-48.626907	1099.143	-4989.3535
-132.60432	-48.58384	1110.3586	-4815.9277
-132.74202	-48.540604	1121.5743	-4595.97
-132.87949	-48.497208	1132.79	-4875.6616
-133.01672	-48.453648	1144.0057	-5004.713
-133.15372	-48.409927	1155.2214	-5111.18
-133.29047	-48.36604	1166.4371	-4855.044
-133.42699	-48.321995	1177.6528	-4702.6694
-133.56328	-48.277786	1188.8685	-4730.944
-133.69933	-48.233418	1200.0842	-4446.4385
-133.83514	-48.18889	1211.2999	-4965.175
-133.97072	-48.1442	1222.5156	-5016.4795
-134.10605	-48.09935	1233.7313	-4966.697
-134.24117	-48.054344	1244.947	-4928.245
-134.37602	-48.00918	1256.1627	-4950.532
-134.51067	-47.963856	1267.3784	-4916.275
-134.64505	-47.918377	1278.5941	-4860.912
-134.77922	-47.87274	1289.8098	-4653.5205
-134.91313	-47.826946	1301.0255	-4580.902
-135.04681	-47.781002	1312.2412	-4721.02
-135.18027	-47.734898	1323.4569	-4929.3926
-135.31348	-47.68864	1334.6726	-4773.274
-135.44646	-47.64223	1345.8883	-4843.902
-135.5792	-47.595665	1357.104	-4811.567
-135.7117	-47.54895	1368.3197	-4848.466
-135.84396	-47.50208	1379.5354	-4902.6587
-135.976	-47.45506	1390.7511	-4890.1875
-136.10779	-47.407887	1401.9668	-4920.0186
-136.23935	-47.36056	1413.1825	-4966.0527
-136.37068	-47.313087	1424.3982	-4179.243
-136.50175	-47.265465	1435.6139	-4723.709
-136.63261	-47.217693	1446.8296	-5032.7686
-136.76323	-47.169773	1458.0453	-4834.673
-136.8936	-47.121704	1469.261	-4785.4824
-137.02374	-47.073486	1480.4767	-4664.9946
-137.15366	-47.02512	1491.6924	-5018.5854
-137.28333	-46.976612	1502.9081	-5282.3555
-137.41277	-46.927956	1514.1238	-5466.659
-137.54196	-46.87915	1525.3395	-5405.8657
-137.67093	-46.830204	1536.5552	-5655.4185
-137.79965	-46.781113	1547.7709	-5620.071
-137.92815	-46.731876	1558.9866	-4386.2495
-138.05641	-46.682495	1570.2023	-4723.349
-138.18443	-46.632973	1581.418	-4958.7236
-138.31223	-46.583305	1592.6337	-5169.961
-138.43979	-46.5335	1603.8494	-5186.2554
-138.56711	-46.48355	1615.0651	-5153.879
-138.6942	-46.43346	1626.2808	-5007.7236
-138.82106	-46.38323	1637.4965	-5110.343
-138.94768	-46.33286	1648.7122	-5072.546
-139.07407	-46.28235	1659.9279	-5133.229
-139.20023	-46.2317	1671.1436	-5167.724
-139.32614	-46.180912	1682.3593	-5210.2485
-139.45183	-46.129986	1693.575	-5346.9233
-139.57729	-46.078922	1704.7906	-5531.3926
-139.70251	-46.027725	1716.0063	-4953.6357
-139.82751	-45.976387	1727.222	-5074.127
-139.95227	-45.924915	1738.4377	-5380.76
-140.0768	-45.873306	1749.6534	-5303.2114
-140.2011	-45.821564	1760.8691	-5311.735
-140.32516	-45.769688	1772.0848	-5284.0527
-140.449	-45.717674	1783.3005	-5164.0654
-140.5726	-45.665527	1794.5162	-5287.7207
-140.69598	-45.61325	1805.7319	-5114.899
-140.81912	-45.56084	1816.9476	-5131.009
-140.94205	-45.508297	1828.1633	-5174.64
-141.06473	-45.455624	1839.379	-5249.456
-141.18718	-45.402817	1850.5947	-4974.1885
-141.30942	-45.34988	1861.8104	-5153.355
-141.43141	-45.296814	1873.0261	-5251.038
-141.55318	-45.243618	1884.2418	-5033.0254
-141.67473	-45.190292	1895.4575	-5076.3994
-141.79604	-45.13684	1906.6732	-5117.0156
-141.91713	-45.08326	1917.8889	-5063.9805
-142.03798	-45.02955	1929.1046	-5055.6567
-142.15862	-44.97571	1940.3203	-4896.79
-142.27902	-44.92175	1951.536	-5206.5605
-142.3992	-44.86766	1962.7517	-5162.852
-142.51915	-44.813442	1973.9674	-5016.122
-142.63889	-44.7591	1985.1831	-5208.197
-142.75839	-44.704636	1996.3988	-5273.3745
-142.87767	-44.650047	2007.6145	-5340.133
-142.99672	-44.595333	2018.8302	-5293.7876
-143.11555	-44.540493	2030.0459	-5341.324
-143.23416	-44.485535	2041.2616	-5425.4863
-143.35254	-44.43045	2052.4773	-5326.4937
-143.4707	-44.375244	2063.693	-5344.2485
-143.58864	-44.31992	2074.909	-5440.449
-143.70634	-44.26447	2086.1248	-5437.3955
-143.82384	-44.208904	2097.3406	-5254.8696
-143.94112	-44.153214	2108.5564	-5120.3545
-144.05815	-44.097404	2119.7722	-5303.7197
-144.17499	-44.041477	2130.988	-5274.982
-144.2916	-43.98543	2142.2039	-5282.33
-144.40797	-43.929268	2153.4197	-5378.87
-144.52414	-43.872982	2164.6355	-5400.04
-144.64009	-43.81658	2175.8513	-5315.45
-144.75583	-43.760067	2187.0671	-5398.2495
