			GMRT Grid Version 4.0
Longitude	Latitude	Distance (km)	Elevation (m)
-102.94	8.96	0.0	-3278.1953
-103.50	8.88	62.661465	-3156.1426
-104.07	8.80	125.32293	-2983.0479
-104.63	8.72	187.98439	-3040.305
-105.19	8.63	250.64586	-3196.635
-105.76	8.55	313.3073	-3304.6228
-106.32	8.46	375.96878	-3417.7383
-106.88	8.38	438.63025	-3450.236
-107.45	8.29	501.29172	-3614.111
-108.01	8.20	563.9532	-3771.6055
-108.57	8.12	626.6146	-3755.7507
-109.13	8.03	689.27606	-3873.8367
-109.70	7.94	751.9375	-3873.3184
-110.26	7.85	814.59894	-3930.2715
-110.82	7.76	877.2604	-3848.1143
-111.38	7.66	939.9218	-3863.704
-111.94	7.57	1002.58325	-3984.6257
-112.50	7.48	1065.2448	-3955.854
-113.06	7.38	1127.9062	-3881.8723
-113.62	7.29	1190.5677	-3897.8176
-114.18	7.19	1253.2292	-4013.8894
-114.74	7.10	1315.8907	-4155.9907
-115.30	7.00	1378.5522	-4097.2573
-115.86	6.90	1441.2137	-4119.298
-116.42	6.80	1503.8752	-4149.317
-116.98	6.70	1566.5367	-4185.645
-117.53	6.60	1629.1982	-4151.5864
-118.09	6.50	1691.8597	-4078.173
-118.65	6.40	1754.5212	-3998.506
-119.21	6.30	1817.1827	-3980.5679
-119.77	6.20	1879.8442	-4060.9004
-120.32	6.10	1942.5057	-4110.494
-120.88	5.99	2005.1672	-4167.799
-121.44	5.89	2067.8286	-4201.352
-121.99	5.79	2130.49	-4192.991
-122.55	5.68	2193.1514	-4149.247
-123.11	5.58	2255.8127	-4208.831
-123.66	5.47	2318.474	-4283.4316
-124.22	5.36	2381.1355	-4254.886
-124.77	5.26	2443.7969	-4366.8154
-125.33	5.15	2506.4583	-4467.9497
-125.89	5.04	2569.1196	-4406.663
-126.44	4.93	2631.781	-4311.089
-127.00	4.82	2694.4424	-4315.1143
-127.55	4.72	2757.1038	-4345.947
-128.10	4.61	2819.7651	-4394.326
-128.66	4.50	2882.4265	-4431.3955
-129.21	4.39	2945.088	-4398.8364
-129.77	4.27	3007.7493	-4399.261
-130.32	4.16	3070.4106	-4467.387
-130.87	4.05	3133.072	-4455.9014
-131.43	3.94	3195.7334	-4445.458
-131.98	3.83	3258.3948	-4421.7866
-132.54	3.71	3321.0562	-4340.5303
-133.09	3.60	3383.7175	-4366.543
-133.64	3.49	3446.379	-4421.9824
-134.19	3.37	3509.0403	-4299.492
-134.75	3.26	3571.7017	-4254.7407
-135.30	3.14	3634.363	-4307.072
-135.85	3.03	3697.0244	-4331.1323
-136.40	2.92	3759.6858	-4324.9067
-136.96	2.80	3822.3472	-4304.0977
-137.51	2.68	3885.0085	-4303.6313
-138.06	2.57	3947.67	-4270.4824
-138.61	2.45	4010.3313	-4245.8887
-139.17	2.34	4072.9927	-4299.7134
-139.72	2.22	4135.6543	-4378.212
-140.27	2.10	4198.316	-4419.3506
-140.82	1.99	4260.9775	-4444.6255
-141.37	1.87	4323.639	-4448.7637
-141.92	1.75	4386.301	-4386.144
-142.47	1.63	4448.9624	-4342.7285
-143.03	1.52	4511.624	-4331.2803
-143.58	1.40	4574.2856	-4384.6494
-144.13	1.28	4636.9473	-4412.711
-144.68	1.16	4699.609	-4421.192
-145.23	1.05	4762.2705	-4489.103
-145.78	0.93	4824.932	-4445.799
-146.33	0.81	4887.5938	-4311.3613
-146.88	0.69	4950.2554	-4271.299
-147.44	0.57	5012.917	-4273.928
-147.99	0.45	5075.5786	-4329.3975
-148.54	0.34	5138.24	-4352.912
-149.09	0.22	5200.902	-4412.548
-149.64	0.10	5263.5635	-4358.0137
