			GMRT Grid Version 4.0
Longitude	Latitude	Distance (km)	Elevation (m)
-19.12	21.94	0.0	-3439.416
-19.64	22.12	56.412804	-3811.339
-20.15	22.30	112.82561	-4027.5332
-20.67	22.47	169.23842	-4208.7344
-21.18	22.64	225.65123	-4355.07
-21.70	22.81	282.06403	-4473.629
-22.22	22.98	338.47684	-4642.8164
-22.74	23.15	394.88965	-4805.524
-23.26	23.32	451.30246	-4929.875
-23.79	23.48	507.71527	-5038.132
-24.31	23.64	564.12805	-5131.7993
-24.84	23.80	620.54083	-5222.797
-25.36	23.96	676.9536	-5306.7446
-25.89	24.12	733.3664	-5370.4175
-26.42	24.27	789.7792	-5435.9346
-26.95	24.43	846.19196	-5498.0703
-27.48	24.58	902.60474	-5560.409
-28.02	24.73	959.0175	-5565.9917
-28.55	24.88	1015.4303	-5585.5317
-29.09	25.02	1071.8431	-5646.5063
-29.63	25.17	1128.256	-5597.761
-30.16	25.31	1184.6688	-5575.37
-30.70	25.45	1241.0817	-5702.0093
-31.24	25.59	1297.4945	-5831.0015
-31.79	25.72	1353.9073	-5818.862
-32.33	25.86	1410.3202	-5754.3413
-32.87	25.99	1466.733	-5631.4062
-33.42	26.12	1523.1459	-5607.7686
-33.97	26.24	1579.5587	-5567.961
-34.52	26.37	1635.9716	-5410.655
-35.07	26.49	1692.3844	-5305.365
-35.62	26.62	1748.7972	-5162.727
-36.17	26.73	1805.2101	-5014.3003
-36.72	26.85	1861.6229	-5017.214
-37.28	26.97	1918.0358	-4985.5356
-37.83	27.08	1974.4486	-4942.7275
-38.39	27.19	2030.8615	-4947.1646
-38.94	27.30	2087.2742	-4692.0273
-39.50	27.41	2143.687	-4486.871
-40.06	27.51	2200.0999	-4287.625
-40.62	27.61	2256.5127	-4058.9194
-41.18	27.71	2312.9255	-3945.578
-41.75	27.81	2369.3384	-3819.4583
-42.31	27.90	2425.7512	-3681.844
-42.88	28.00	2482.164	-3365.043
-43.44	28.09	2538.577	-2998.6616
-44.01	28.18	2594.9897	-2881.2407
-44.58	28.26	2651.4026	-3080.6904
-45.14	28.34	2707.8154	-3576.2764
-45.71	28.43	2764.2283	-3845.8582
-46.28	28.50	2820.641	-3956.5752
-46.85	28.58	2877.054	-4162.2827
-47.43	28.65	2933.4668	-4412.6323
-48.00	28.73	2989.8796	-4533.1353
-48.57	28.80	3046.2925	-4742.1953
-49.15	28.86	3102.7053	-4804.8037
-49.72	28.93	3159.1182	-4933.5356
-50.30	28.99	3215.531	-5038.4067
-50.87	29.05	3271.9438	-5141.091
-51.45	29.10	3328.3567	-5252.983
-52.03	29.16	3384.7695	-5450.3154
-52.60	29.21	3441.1824	-5478.733
-53.18	29.26	3497.5952	-5354.7095
-53.76	29.31	3554.008	-5372.601
-54.34	29.35	3610.421	-5407.453
-54.92	29.39	3666.8337	-5475.8906
-55.50	29.43	3723.2466	-5556.3877
-56.08	29.47	3779.6594	-5620.1167
-56.67	29.50	3836.0723	-5633.633
-57.25	29.54	3892.485	-5633.7373
-57.83	29.57	3948.898	-5630.435
-58.41	29.59	4005.3108	-5622.7856
-58.99	29.62	4061.7236	-5625.1445
-59.58	29.64	4118.136	-5631.9346
-60.16	29.66	4174.549	-5537.0977
-60.74	29.67	4230.9614	-5468.4033
-61.33	29.69	4287.374	-5234.864
-61.91	29.70	4343.7866	-5102.0454
-62.50	29.71	4400.199	-5041.341
-63.08	29.71	4456.612	-5002.71
-63.66	29.72	4513.0244	-4944.9287
-64.25	29.72	4569.437	-4941.6206
-64.83	29.72	4625.8496	-4927.2646
-65.42	29.71	4682.262	-4967.972
-66.00	29.71	4738.675	-5052.2285
-66.59	29.70	4795.0874	-5127.6343
-67.17	29.69	4851.5	-5160.7803
-67.75	29.67	4907.9126	-5167.2603
-68.34	29.66	4964.325	-5204.246
-68.92	29.64	5020.738	-5245.0713
-69.50	29.62	5077.1504	-5328.326
-70.09	29.59	5133.563	-5401.5176
-70.67	29.56	5189.9756	-5426.489
-71.25	29.53	5246.388	-5428.6255
-71.83	29.50	5302.801	-5368.1113
-72.41	29.47	5359.2134	-5051.4023
-72.99	29.43	5415.626	-4410.878
-73.58	29.39	5472.0386	-4394.822
-74.16	29.35	5528.451	-4600.1016
-74.74	29.30	5584.864	-4614.9707
-75.31	29.26	5641.2764	-4864.3687
-75.89	29.21	5697.689	-5031.349
-76.47	29.16	5754.1016	-4582.166
