			GMRT Grid Version 4.2.1
Longitude	Latitude	Distance (km)	Elevation (m)
-44.78	25.92	0.0	-3306.0928
-44.66	25.91	11.93026	-3311.7222
-44.54	25.90	23.86052	-3346.0203
-44.42	25.89	35.79078	-3583.1907
-44.31	25.88	47.72104	-3592.914
-44.19	25.87	59.6513	-3264.9968
-44.07	25.86	71.58156	-3810.6062
-43.95	25.84	83.51182	-3624.2085
-43.83	25.83	95.44208	-3888.8025
-43.71	25.82	107.37234	-4041.4785
-43.60	25.81	119.3026	-4009.296
-43.48	25.80	131.23285	-4086.799
-43.36	25.79	143.1631	-4286.36
-43.24	25.77	155.09335	-3905.921
-43.12	25.76	167.0236	-4072.2554
-43.00	25.75	178.95386	-3992.0737
-42.88	25.74	190.88411	-4052.0225
-42.77	25.72	202.81436	-3976.4893
-42.65	25.71	214.74461	-4151.9995
-42.53	25.70	226.67487	-4264.295
-42.41	25.69	238.60512	-4432.2876
-42.29	25.67	250.53537	-4181.716
-42.18	25.66	262.46564	-4461.2944
-42.06	25.65	274.3959	-4137.094
-41.94	25.64	286.32617	-4138.805
-41.82	25.62	298.25644	-4265.5376
-41.70	25.61	310.1867	-4054.9702
-41.58	25.60	322.11697	-3979.7583
-41.47	25.58	334.04724	-4468.336
-41.35	25.57	345.9775	-4827.7183
-41.23	25.56	357.90778	-4150.3003
-41.11	25.54	369.83804	-4174.5815
-40.99	25.53	381.7683	-4358.4893
-40.88	25.51	393.69858	-4478.4575
-40.76	25.50	405.62885	-4467.8696
-40.64	25.49	417.5591	-4275.0923
-40.52	25.47	429.48938	-4415.55
-40.41	25.46	441.41965	-4867.4214
-40.29	25.44	453.3499	-4646.837
-40.17	25.43	465.28018	-4810.2007
-40.05	25.41	477.21045	-4820.1934
-39.93	25.40	489.14072	-4837.901
-39.82	25.38	501.07098	-4707.569
-39.70	25.37	513.0012	-4714.092
-39.58	25.35	524.93146	-4964.8696
-39.46	25.34	536.8617	-5077.676
-39.35	25.32	548.79193	-4791.888
-39.23	25.31	560.72217	-4978.62
-39.11	25.29	572.6524	-5114.434
-38.99	25.28	584.58264	-4957.2666
-38.88	25.26	596.5129	-4608.5786
-38.76	25.25	608.4431	-4803.091
-38.64	25.23	620.37335	-5119.2036
-38.53	25.22	632.3036	-4991.6685
-38.41	25.20	644.2338	-4932.8203
-38.29	25.18	656.16406	-5309.2207
-38.17	25.17	668.0943	-5001.8228
-38.06	25.15	680.02454	-5019.096
-37.94	25.14	691.9548	-5272.932
-37.82	25.12	703.885	-4861.185
-37.70	25.10	715.81525	-5344.7856
-37.59	25.09	727.7455	-5310.936
-37.47	25.07	739.6757	-5434.0933
-37.35	25.05	751.60596	-5310.6436
-37.24	25.04	763.5362	-5506.8433
-37.12	25.02	775.46643	-5431.717
-37.00	25.00	787.39667	-5338.715
-36.89	24.99	799.3269	-4875.6543
-36.77	24.97	811.25714	-5094.9575
-36.65	24.95	823.1874	-5104.927
-36.54	24.93	835.1176	-5518.9453
-36.42	24.92	847.04785	-4953.988
-36.30	24.90	858.9781	-5049.4136
-36.19	24.88	870.9083	-5366.388
-36.07	24.86	882.83856	-5793.572
