			GMRT Grid Version 4.2.1
Longitude	Latitude	Distance (km)	Elevation (m)
37.16	-44.76	0.0	-1666.9181
37.13	-44.82	7.269857	-1970.349
37.09	-44.88	14.539714	-2156.8696
37.05	-44.94	21.80957	-2331.7732
37.02	-45.00	29.079428	-2161.5842
36.98	-45.06	36.349285	-2271.9822
36.94	-45.12	43.61914	-2368.5466
36.91	-45.18	50.888996	-1865.2882
36.87	-45.24	58.15885	-1552.2126
36.83	-45.30	65.42871	-2289.1133
36.79	-45.36	72.69857	-2629.1792
36.76	-45.42	79.96843	-2542.5513
36.72	-45.48	87.23829	-2447.4822
36.68	-45.54	94.50815	-2730.4673
36.64	-45.60	101.77801	-2669.8025
36.61	-45.66	109.04787	-2518.918
36.57	-45.72	116.317726	-2702.8142
36.53	-45.78	123.587585	-2639.7004
36.49	-45.84	130.85744	-2571.701
36.45	-45.90	138.12729	-2748.484
36.41	-45.96	145.39714	-2878.4219
36.38	-46.02	152.66699	-2921.1396
36.34	-46.08	159.93684	-2942.4482
36.30	-46.14	167.2067	-2874.1926
36.26	-46.20	174.47655	-2899.7197
36.22	-46.26	181.7464	-2946.976
36.18	-46.31	189.01625	-2911.818
36.15	-46.37	196.2861	-2951.764
36.11	-46.43	203.55595	-3181.459
36.07	-46.49	210.8258	-3204.2834
36.03	-46.55	218.09566	-3288.1492
35.99	-46.61	225.36551	-3352.745
35.95	-46.67	232.63536	-3386.062
35.91	-46.73	239.90521	-3179.7021
35.87	-46.79	247.17506	-3265.7722
35.83	-46.85	254.44492	-3343.3406
35.79	-46.91	261.71478	-3304.5012
35.75	-46.97	268.98465	-3530.8008
35.71	-47.03	276.25452	-3733.0398
35.67	-47.09	283.52438	-3911.951
35.63	-47.15	290.79425	-3453.9272
35.59	-47.21	298.06412	-3520.58
35.55	-47.27	305.33398	-3787.238
35.51	-47.33	312.60385	-3862.9548
35.47	-47.39	319.87372	-3979.92
35.43	-47.45	327.1436	-3753.527
35.39	-47.51	334.41345	-3547.7476
35.35	-47.56	341.68332	-4043.9697
35.31	-47.62	348.9532	-4074.9907
35.27	-47.68	356.22305	-3879.7114
35.23	-47.74	363.49292	-3717.2078
35.19	-47.80	370.7628	-3794.359
35.15	-47.86	378.03265	-3883.9492
35.11	-47.92	385.30252	-3821.9985
35.06	-47.98	392.5724	-3674.6218
35.02	-48.04	399.84225	-3605.0974
34.98	-48.10	407.11212	-3546.2727
34.94	-48.16	414.382	-3806.9573
