			GMRT Grid Version 4.0
Longitude	Latitude	Distance (km)	Elevation (m)
118.69	-37.94	0.0	-5146.4106
118.57	-38.28	39.140408	-5097.738
118.45	-38.62	78.280815	-5156.526
118.33	-38.96	117.42122	-5094.0044
118.20	-39.30	156.56163	-4956.9224
118.08	-39.64	195.70204	-4819.351
117.95	-39.97	234.84245	-4775.804
117.83	-40.31	273.98285	-4799.7256
117.70	-40.65	313.12326	-4795.214
117.57	-40.99	352.26367	-4706.606
117.44	-41.33	391.40408	-4693.145
117.31	-41.66	430.5445	-4600.256
117.17	-42.00	469.6849	-4491.664
117.04	-42.34	508.82532	-4468.616
116.90	-42.68	547.9657	-4476.857
116.77	-43.01	587.1061	-4512.084
116.63	-43.35	626.24646	-4522.43
116.49	-43.69	665.38684	-4438.5527
116.34	-44.03	704.5272	-4350.3013
116.20	-44.36	743.6676	-4300.491
116.05	-44.70	782.808	-4290.7666
115.91	-45.03	821.94836	-4289.1875
115.76	-45.37	861.08875	-4219.6597
115.61	-45.71	900.2291	-4143.6616
115.46	-46.04	939.3695	-4089.6104
115.30	-46.38	978.5099	-4065.7935
115.14	-46.71	1017.65027	-4025.249
114.99	-47.05	1056.7906	-3952.5188
114.83	-47.38	1095.931	-3866.9387
114.66	-47.72	1135.0714	-3763.364
114.50	-48.05	1174.2118	-3730.322
114.33	-48.39	1213.3522	-3669.1404
114.16	-48.72	1252.4926	-3592.4763
113.99	-49.05	1291.6329	-3563.4204
113.82	-49.39	1330.7733	-3554.3813
113.64	-49.72	1369.9137	-3469.5906
113.47	-50.05	1409.0541	-3305.1072
113.28	-50.38	1448.1945	-3247.4792
113.10	-50.72	1487.3348	-3328.5056
112.92	-51.05	1526.4752	-3292.6672
112.73	-51.38	1565.6156	-3402.0366
112.54	-51.71	1604.756	-3574.5444
112.34	-52.04	1643.8964	-3625.8528
112.15	-52.37	1683.0367	-3612.3118
111.95	-52.70	1722.1771	-3623.7756
111.74	-53.03	1761.3175	-3688.803
111.54	-53.36	1800.4579	-3722.8489
111.33	-53.69	1839.5983	-3718.6814
111.11	-54.02	1878.7386	-3704.5107
110.90	-54.35	1917.879	-3719.1895
110.68	-54.68	1957.0194	-3885.7407
110.46	-55.01	1996.1598	-3915.3877
110.23	-55.33	2035.3002	-3917.7578
110.00	-55.66	2074.4407	-4015.111
109.76	-55.99	2113.581	-4039.2688
109.53	-56.31	2152.7214	-4188.4956
109.28	-56.64	2191.8618	-4243.707
109.04	-56.96	2231.0022	-4237.176
108.79	-57.29	2270.1426	-4376.7417
108.53	-57.61	2309.283	-4301.762
108.27	-57.93	2348.4233	-4364.45
108.01	-58.26	2387.5637	-4347.7417
107.74	-58.58	2426.704	-4390.096
107.46	-58.90	2465.8445	-4377.4067
107.18	-59.22	2504.9849	-4407.787
106.90	-59.54	2544.1252	-4215.7666
106.61	-59.86	2583.2656	-4123.886
106.31	-60.18	2622.406	-4369.5024
106.01	-60.50	2661.5464	-4307.796
105.70	-60.82	2700.6868	-4370.935
105.39	-61.14	2739.8271	-4392.0586
105.06	-61.45	2778.9675	-4384.4395
104.74	-61.77	2818.108	-4365.334
104.40	-62.08	2857.2483	-4318.9927
104.06	-62.40	2896.3887	-4254.5347
