			GMRT Grid Version 4.0
Longitude	Latitude	Distance (km)	Elevation (m)
-153.241	28.536	-497.49637	-5525.535
-153.256	28.512	-494.45123	-5552.9497
-153.271	28.488	-491.4061	-5588.1587
-153.286	28.464	-488.36096	-5623.4756
-153.302	28.441	-485.31583	-5656.6743
-153.317	28.417	-482.2707	-5687.1157
-153.332	28.393	-479.22556	-5709.465
-153.348	28.369	-476.18042	-5702.6387
-153.363	28.345	-473.13528	-5652.1294
-153.378	28.321	-470.09015	-5587.131
-153.393	28.297	-467.04504	-5545.4927
-153.409	28.273	-463.99988	-5532.6455
-153.424	28.250	-460.95477	-5542.464
-153.439	28.226	-457.9096	-5565.0303
-153.454	28.202	-454.8645	-5589.0063
-153.469	28.178	-451.81934	-5617.561
-153.485	28.154	-448.77423	-5635.35
-153.500	28.130	-445.72906	-5634.4893
-153.515	28.106	-442.68396	-5628.1396
-153.530	28.082	-439.6388	-5625.5483
-153.545	28.058	-436.5937	-5623.0376
-153.561	28.035	-433.54852	-5578.656
-153.576	28.011	-430.50342	-5613.592
-153.591	27.987	-427.45825	-5568.4707
-153.606	27.963	-424.41315	-5488.5894
-153.621	27.939	-421.36798	-5581.883
-153.636	27.915	-418.32288	-5778.5386
-153.651	27.891	-415.2777	-5626.9585
-153.667	27.867	-412.2326	-5500.9243
-153.682	27.843	-409.18744	-5537.078
-153.697	27.819	-406.14233	-5536.5596
-153.712	27.796	-403.09717	-5585.3955
-153.727	27.772	-400.05206	-5609.085
-153.742	27.748	-397.0069	-5640.79
-153.757	27.724	-393.9618	-5543.7407
-153.772	27.700	-390.91663	-5493.6245
-153.787	27.676	-387.87152	-5489.557
-153.802	27.652	-384.82635	-5548.649
-153.817	27.628	-381.78125	-5591.504
-153.832	27.604	-378.73608	-5574.5806
-153.847	27.580	-375.69098	-5535.4272
-153.862	27.556	-372.6458	-5520.0796
-153.877	27.532	-369.6007	-5543.2783
-153.892	27.509	-366.55554	-5551.2056
-153.908	27.485	-363.51044	-5554.0596
-153.923	27.461	-360.46527	-5570.2515
-153.938	27.437	-357.42017	-5561.6978
-153.952	27.413	-354.375	-5525.2793
-153.967	27.389	-351.3299	-5519.2397
-153.982	27.365	-348.28473	-5546.658
-153.997	27.341	-345.23962	-5552.3794
-154.012	27.317	-342.19446	-5532.101
-154.027	27.293	-339.14935	-5544.1914
-154.042	27.269	-336.1042	-5545.8594
-154.057	27.245	-333.05908	-5518.748
-154.072	27.221	-330.01392	-5479.1665
-154.087	27.197	-326.9688	-5438.1006
-154.102	27.173	-323.92365	-5409.2964
-154.117	27.149	-320.87854	-5399.7925
-154.132	27.125	-317.83337	-5399.753
-154.147	27.102	-314.78827	-5413.091
-154.162	27.078	-311.7431	-5447.836
-154.177	27.054	-308.698	-5412.9146
-154.192	27.030	-305.65283	-5419.2554
-154.206	27.006	-302.60773	-5416.212
-154.221	26.982	-299.56256	-5338.7886
-154.236	26.958	-296.51746	-5317.0483
-154.251	26.934	-293.4723	-5314.5596
-154.266	26.910	-290.4272	-5333.366
-154.281	26.886	-287.38202	-5405.8677
-154.296	26.862	-284.3369	-5501.604
-154.310	26.838	-281.29175	-5542.919
-154.325	26.814	-278.24664	-5527.2407
-154.340	26.790	-275.20148	-5491.6772
-154.355	26.766	-272.15637	-5465.054
-154.370	26.742	-269.1112	-5472.1973
-154.385	26.718	-266.0661	-5481.7837
-154.399	26.694	-263.02094	-5473.498
-154.414	26.670	-259.97583	-5430.612
-154.429	26.646	-256.93066	-5329.4644
-154.444	26.622	-253.88554	-5077.676
-154.458	26.598	-250.84041	-5299.5474
-154.473	26.574	-247.79527	-5471.0815
-154.488	26.550	-244.75014	-5528.7563
-154.503	26.526	-241.705	-5526.9277
-154.518	26.502	-238.65988	-5504.3765
-154.532	26.478	-235.61475	-5526.3066
-154.547	26.454	-232.56961	-5498.404
-154.562	26.430	-229.52448	-5525.472
-154.576	26.406	-226.47934	-5528.0796
-154.591	26.382	-223.4342	-5516.828
-154.606	26.358	-220.38907	-5478.3643
-154.621	26.334	-217.34393	-5478.7935
-154.635	26.310	-214.2988	-5309.5356
-154.650	26.286	-211.25366	-5267.9062
-154.665	26.262	-208.20853	-5367.5728
-154.679	26.238	-205.16339	-5369.566
-154.694	26.214	-202.11826	-5397.417
-154.709	26.190	-199.07312	-5415.8267
-154.723	26.166	-196.02798	-5466.717
-154.738	26.142	-192.98285	-5458.855
-154.753	26.118	-189.93771	-5454.228
-154.767	26.094	-186.89258	-5427.171
-154.782	26.070	-183.84744	-5391.966
-154.797	26.046	-180.8023	-5432.141
-154.811	26.022	-177.75717	-5436.82
-154.826	25.998	-174.71204	-5419.6104
-154.841	25.974	-171.6669	-5378.051
-154.855	25.950	-168.62177	-5402.2466
-154.870	25.926	-165.57663	-5434.451
-154.884	25.902	-162.5315	-5410.0664
-154.899	25.878	-159.48636	-5351.7896
-154.914	25.854	-156.44122	-5285.994
-154.928	25.830	-153.39609	-5250.2007
-154.943	25.806	-150.35095	-5252.6777
-154.957	25.782	-147.30582	-5279.268
-154.972	25.758	-144.26068	-5313.3896
-154.986	25.734	-141.21555	-5340.799
-155.001	25.710	-138.17041	-5309.5317
-155.016	25.685	-135.12527	-5218.9595
-155.030	25.661	-132.08014	-5181.1587
-155.045	25.637	-129.035	-5059.2114
-155.059	25.613	-125.98987	-4931.589
-155.074	25.589	-122.94473	-4847.7803
-155.088	25.565	-119.8996	-4787.0225
-155.103	25.541	-116.85446	-4789.138
-155.117	25.517	-113.809326	-4820.3354
-155.132	25.493	-110.76419	-4860.574
-155.146	25.469	-107.719055	-4892.2837
-155.161	25.445	-104.67392	-4918.157
-155.175	25.421	-101.628784	-4952.0957
-155.190	25.397	-98.58365	-4999.43
