  			GMRT Grid Version 4.0
Longitude	Latitude	Distance (km)	Elevation (m)
147.355	18.059	0.0	-4246.657
147.379	18.062	2.617174	-4340.206
147.404	18.066	5.234348	-4316.9805
147.428	18.070	7.851522	-4251.951
147.453	18.074	10.468696	-4278.192
147.477	18.077	13.08587	-4452.261
147.502	18.081	15.703044	-4566.0947
147.526	18.085	18.320217	-4846.1377
147.551	18.088	20.937391	-5348.7485
147.575	18.092	23.554565	-5834.1074
147.599	18.096	26.17174	-6245.7256
147.624	18.099	28.788914	-6535.543
147.648	18.103	31.406088	-6575.0986
147.673	18.107	34.023262	-6646.311
147.697	18.110	36.640434	-6911.9414
147.722	18.114	39.257607	-7459.2583
147.746	18.118	41.87478	-7874.7334
147.771	18.121	44.49195	-8039.1025
147.795	18.125	47.109123	-7876.4604
147.820	18.129	49.726295	-7639.665
147.844	18.132	52.343468	-7492.8394
147.869	18.136	54.96064	-7444.019
147.893	18.140	57.577812	-7334.0986
147.917	18.143	60.194984	-7222.9277
147.942	18.147	62.812157	-7161.9424
147.966	18.151	65.42933	-7218.201
147.991	18.154	68.0465	-7133.02
148.015	18.158	70.66367	-7024.06
148.040	18.162	73.280846	-6984.6206
148.064	18.165	75.89802	-6911.5864
148.089	18.169	78.51519	-6829.2266
148.113	18.172	81.13236	-6748.059
148.138	18.176	83.749535	-6663.1855
148.162	18.180	86.36671	-6578.859
148.187	18.183	88.98388	-6502.301
148.211	18.187	91.60105	-6448.644
148.236	18.191	94.21822	-6407.0186
148.260	18.194	96.835396	-6354.6357
148.285	18.198	99.45257	-6282.612
148.309	18.201	102.06974	-6235.339
148.334	18.205	104.68691	-6192.7676
148.358	18.209	107.304085	-6143.8804
148.383	18.212	109.92126	-6101.991
148.407	18.216	112.53843	-6061.199
148.432	18.219	115.1556	-6016.623
148.456	18.223	117.77277	-5950.99
148.481	18.226	120.389946	-5903.302
148.505	18.230	123.00712	-5872.308
148.530	18.234	125.62429	-5839.348
148.554	18.237	128.24147	-5834.333
148.579	18.241	130.85864	-5831.4233
148.603	18.244	133.47581	-5819.4116
148.628	18.248	136.09299	-5808.1333
148.652	18.251	138.71016	-5798.592
148.676	18.255	141.32733	-5790.894
148.701	18.259	143.9445	-5796.1157
148.726	18.262	146.56168	-5789.1577
148.750	18.266	149.17885	-5770.473
148.775	18.269	151.79602	-5744.533
148.799	18.273	154.4132	-5727.121
148.824	18.276	157.03036	-5713.53
148.848	18.280	159.64754	-5699.7754
148.873	18.283	162.26471	-5681.8896
148.897	18.287	164.88188	-5671.1675
148.922	18.290	167.49905	-5668.585
148.946	18.294	170.11623	-5660.5312
148.971	18.297	172.7334	-5645.3467
148.995	18.301	175.35057	-5620.777
149.020	18.304	177.96774	-5595.8984
149.044	18.308	180.58492	-5588.027
149.069	18.311	183.20209	-5593.032
149.093	18.315	185.81926	-5603.3936
149.118	18.318	188.43643	-5613.074
149.142	18.322	191.0536	-5604.48
149.167	18.325	193.67078	-5563.7793
149.191	18.329	196.28795	-5486.1333
149.216	18.332	198.90512	-5239.45
149.240	18.336	201.5223	-4792.951
149.265	18.339	204.13947	-4058.351
149.289	18.343	206.75664	-3385.1458
149.314	18.346	209.37381	-2850.031
149.338	18.350	211.99098	-2572.3835
149.363	18.353	214.60815	-2883.8604
149.387	18.357	217.22533	-3392.9678
149.412	18.360	219.8425	-3913.4187
149.436	18.364	222.45967	-4529.8013
149.461	18.367	225.07684	-5029.892
149.486	18.370	227.69402	-5345.2173
149.510	18.374	230.31119	-5485.351
149.535	18.377	232.92836	-5481.4146
149.559	18.381	235.54553	-5429.248
149.584	18.384	238.1627	-5457.3584
149.608	18.388	240.77988	-5450.49
149.633	18.391	243.39705	-5424.0244
149.657	18.394	246.01422	-5407.1914
149.682	18.398	248.6314	-5390.689
149.706	18.401	251.24857	-5388.635
149.731	18.405	253.86574	-5402.366
149.755	18.408	256.4829	-5416.7856
149.780	18.412	259.1001	-5428.7437
149.805	18.415	261.7173	-5437.7183
149.829	18.418	264.33447	-5441.082
149.854	18.422	266.95166	-5439.415
149.878	18.425	269.56885	-5435.69
149.903	18.429	272.18604	-5434.333
149.927	18.432	274.80322	-5438.328
149.952	18.435	277.4204	-5441.2666
149.976	18.439	280.0376	-5443.746
150.001	18.442	282.6548	-5454.796
150.026	18.445	285.27197	-5462.583
150.050	18.449	287.88916	-5465.408
150.075	18.452	290.50635	-5465.5674
150.099	18.456	293.12354	-5468.3306
150.124	18.459	295.74072	-5471.0938
150.148	18.462	298.3579	-5471.6094
150.173	18.466	300.9751	-5482.749
150.197	18.469	303.5923	-5497.401
150.222	18.472	306.20947	-5507.3643
150.247	18.476	308.82666	-5499.234
150.271	18.479	311.44385	-5488.53
150.296	18.482	314.06104	-5481.576
150.320	18.486	316.67822	-5483.8706
150.345	18.489	319.2954	-5485.5557
150.369	18.492	321.9126	-5482.9844
150.394	18.496	324.5298	-5471.1167
150.419	18.499	327.14697	-5464.1475
150.443	18.502	329.76416	-5460.273
150.468	18.506	332.38135	-5460.45
150.492	18.509	334.99854	-5464.1226
150.517	18.512	337.61572	-5468.9463
150.541	18.516	340.2329	-5477.221
150.566	18.519	342.8501	-5489.8926
150.591	18.522	345.4673	-5511.3223
150.615	18.526	348.08447	-5535.575
150.640	18.529	350.70166	-5558.988
150.664	18.532	353.31885	-5557.9414
150.689	18.536	355.93604	-5542.0234
150.713	18.539	358.55322	-5519.8867
150.738	18.542	361.1704	-5511.7783
150.763	18.545	363.7876	-5510.9355
150.787	18.549	366.4048	-5514.157
150.812	18.552	369.02197	-5514.9546
150.836	18.555	371.63916	-5513.385
150.861	18.558	374.25635	-5514.3657
150.886	18.562	376.87354	-5521.741
150.910	18.565	379.49072	-5520.2275
150.935	18.568	382.1079	-5516.272
150.959	18.572	384.7251	-5512.909
150.984	18.575	387.3423	-5509.577
151.008	18.578	389.95947	-5511.1567
151.033	18.581	392.57666	-5515.937
151.058	18.585	395.19385	-5516.6997
151.082	18.588	397.81104	-5517.9717
151.107	18.591	400.42822	-5519.3145
151.131	18.594	403.0454	-5520.143
151.156	18.597	405.6626	-5512.253
151.181	18.601	408.2798	-5500.535
151.205	18.604	410.89697	-5488.944
151.230	18.607	413.51416	-5495.4204
151.254	18.610	416.13135	-5500.124
151.279	18.614	418.74854	-5500.487
151.304	18.617	421.36572	-5501.545
151.328	18.620	423.9829	-5464.681
151.353	18.623	426.6001	-5396.7705
151.377	18.626	429.2173	-5323.478
151.402	18.630	431.83447	-5229.568
151.427	18.633	434.45166	-5142.0347
151.451	18.636	437.06885	-5059.5493
151.476	18.639	439.68604	-4888.503
151.501	18.642	442.30322	-4584.072
151.525	18.646	444.9204	-4207.237
151.550	18.649	447.5376	-3973.9314
151.574	18.652	450.1548	-3924.9048
151.599	18.655	452.77197	-4032.8574
151.624	18.658	455.38916	-4245.4927
151.648	18.661	458.00635	-4502.189
151.673	18.665	460.62354	-4754.7407
151.697	18.668	463.24072	-4961.6416
151.722	18.671	465.8579	-5158.5244
151.747	18.674	468.4751	-5299.1626
151.771	18.677	471.0923	-5385.7236
151.796	18.680	473.70947	-5437.7695
151.821	18.684	476.32666	-5467.3613
151.845	18.687	478.94385	-5486.485
151.870	18.690	481.56104	-5495.4985
151.894	18.693	484.17822	-5507.2334
151.919	18.696	486.7954	-5519.0835
151.944	18.699	489.4126	-5533.3784
151.968	18.702	492.0298	-5552.725
151.993	18.706	494.64697	-5564.598
152.018	18.709	497.26416	-5569.4404
152.042	18.712	499.88135	-5566.7725
152.067	18.715	502.49854	-5559.767
152.091	18.718	505.11572	-5563.3154
152.116	18.721	507.7329	-5595.5264
152.141	18.724	510.3501	-5607.188
152.165	18.727	512.9673	-5606.686
152.190	18.730	515.5845	-5600.304
152.215	18.733	518.20166	-5587.4033
152.239	18.737	520.81885	-5572.836
152.264	18.740	523.43604	-5560.4766
152.289	18.743	526.0532	-5551.7773
152.313	18.746	528.6704	-5547.4443
152.338	18.749	531.2876	-5548.0156
152.362	18.752	533.9048	-5553.004
152.387	18.755	536.522	-5562.7935
152.412	18.758	539.13916	-5569.9443
152.436	18.761	541.75635	-5565.2134
152.461	18.764	544.37354	-5549.9385
152.486	18.767	546.9907	-5542.6587
152.510	18.770	549.6079	-5552.999
152.535	18.773	552.2251	-5588.6997
152.560	18.776	554.8423	-5595.868
152.584	18.780	557.4595	-5576.8955
152.609	18.783	560.07666	-5545.525
152.634	18.786	562.69385	-5501.6787
152.658	18.789	565.31104	-5452.61
152.683	18.792	567.9282	-5409.048
152.708	18.795	570.5454	-5381.11
152.732	18.798	573.1626	-5381.839
152.757	18.801	575.7798	-5406.085
152.782	18.804	578.397	-5456.924
152.806	18.807	581.01416	-5494.982
152.831	18.810	583.63135	-5515.245
152.856	18.813	586.24854	-5514.389
152.880	18.816	588.8657	-5534.5894
152.905	18.819	591.4829	-5562.9595
152.930	18.822	594.1001	-5590.08
152.954	18.825	596.7173	-5613.2183
152.979	18.828	599.3345	-5639.013
153.004	18.831	601.95166	-5661.767
153.028	18.834	604.56885	-5665.7812
153.053	18.837	607.18604	-5672.45
153.078	18.840	609.8032	-5676.102
153.102	18.843	612.4204	-5675.121
153.127	18.846	615.0376	-5679.0254
153.152	18.849	617.6548	-5684.545
153.176	18.852	620.272	-5690.523
153.201	18.855	622.88916	-5701.445
153.226	18.858	625.50635	-5694.087
153.250	18.861	628.12354	-5668.8496
153.275	18.864	630.7407	-5633.452
153.300	18.866	633.3579	-5613.0483
153.324	18.869	635.9751	-5613.797
153.349	18.872	638.5923	-5638.018
153.374	18.875	641.2095	-5657.409
153.398	18.878	643.82666	-5667.6562
153.423	18.881	646.44385	-5665.162
153.448	18.884	649.06104	-5650.9614
153.472	18.887	651.6782	-5634.9165
153.497	18.890	654.2954	-5631.365
153.522	18.893	656.9126	-5656.446
153.546	18.896	659.5298	-5677.5737
153.571	18.899	662.147	-5678.97
153.596	18.902	664.76416	-5650.4517
153.620	18.905	667.38135	-5615.493
153.645	18.907	669.99854	-5595.4385
153.670	18.910	672.6157	-5598.6494
153.695	18.913	675.2329	-5624.173
153.719	18.916	677.8501	-5663.708
153.744	18.919	680.4673	-5704.463
153.769	18.922	683.0845	-5731.9224
153.793	18.925	685.70166	-5732.0137
153.818	18.928	688.31885	-5713.159
153.843	18.931	690.93604	-5683.861
153.867	18.934	693.5532	-5666.411
153.892	18.936	696.1704	-5661.756
153.917	18.939	698.7876	-5664.8315
153.941	18.942	701.4048	-5663.9766
153.966	18.945	704.022	-5670.111
153.991	18.948	706.63916	-5676.974
154.016	18.951	709.25635	-5677.233
154.040	18.954	711.87354	-5677.8677
154.065	18.956	714.4907	-5683.4785
154.090	18.959	717.1079	-5694.7417
154.114	18.962	719.7251	-5702.2646
154.139	18.965	722.3423	-5731.5723
154.164	18.968	724.9595	-5768.8516
154.188	18.971	727.57666	-5754.322
154.213	18.973	730.19385	-5724.63
154.238	18.976	732.81104	-5699.8066
154.263	18.979	735.4282	-5691.005
154.287	18.982	738.0454	-5689.122
154.312	18.985	740.6626	-5690.7393
154.337	18.988	743.2798	-5693.65
154.361	18.990	745.897	-5693.771
154.386	18.993	748.51416	-5686.3213
154.411	18.996	751.13135	-5679.717
154.436	18.999	753.74854	-5676.558
154.460	19.002	756.3657	-5682.274
154.485	19.004	758.9829	-5690.492
154.510	19.007	761.6001	-5701.5786
154.534	19.010	764.2173	-5690.6313
154.559	19.013	766.8345	-5678.872
154.584	19.016	769.45166	-5673.506
154.609	19.018	772.06885	-5670.47
154.633	19.021	774.68604	-5668.717
154.658	19.024	777.3032	-5670.7246
154.683	19.027	779.9204	-5674.4883
154.708	19.029	782.5376	-5677.109
154.732	19.032	785.1548	-5680.0483
154.757	19.035	787.772	-5682.5337
154.782	19.038	790.38916	-5677.9507
154.806	19.040	793.00635	-5672.2515
154.831	19.043	795.62354	-5668.765
154.856	19.046	798.2407	-5672.471
154.881	19.049	800.8579	-5659.6436
154.905	19.051	803.4751	-5645.595
154.930	19.054	806.0923	-5650.672
154.955	19.057	808.7095	-5655.9023
154.980	19.060	811.32666	-5667.7427
155.004	19.062	813.94385	-5679.521
155.029	19.065	816.56104	-5666.0977
155.054	19.068	819.1782	-5618.1206
