Hotspot,Overlying Plate,Latitude,Longitude
Hawaii,Pacific,20,-157
Samoa,Pacific,-13,-173
St. Helena,Africa,-14,-6
Bermuda,N. America,33,-67
Cape Verde,Africa,14,-20
Pitcairn,Pacific,-26,-132
MacDonald,Pacific,-30,-140
Marquesas,Pacific,-10,-138
Tahiti,Pacific,-17,-151
Easter,Pac-Naz,-27,-110
Reunion,Indian,-20,55
Yellowstone,N. America,43,-111
Galapagos,Nazca,0,-92
Juan Fernandez,Nazca,-34,-83
Ethiopia,Africa,8,37
Ascencion,S. Am-Afr,-8,-14
Afar,Africa,10,43
Azores,Eurasia,39,-28
Iceland,N. Am-Eur,65,-20
Madeira,Africa,32,-18
Canary,Africa,28,-17
Hoggar,Ind-Ant,-49,69
Bouvet,Afr-Ant,-54,2
Pr.Edward,Afr-Ant,-45,50
Eifel,Eurasia,48,8
San Felix,Nazca,-24,-82
Tibesti,Africa,18,22
Trinadade,S. America,-20,-30
Tristan,S. Am-Afr,-36,-13
