Plates,lat,lon,omega (deg/Myr)
EU-NA,62.4,135.8,0.21
AF-NA,78.8,38.3,0.24
AF-EU,21,-20.6,0.12
NA-SA,16.3,-58.1,0.15
AF-SA,62.5,-39.4,0.31
AN-SA,86.4,-40.7,0.26
NA-CA,-74.3,-26.1,0.1
CA-SA,50,-65.3,0.18
NA-PA,48.7,-78.2,0.75
CO-PA,36.8,-108.6,2
CO-NA,27.9,-120.7,1.36
CO-NZ,4.8,-124.3,0.91
NZ-PA,55.6,-90.1,1.36
NZ-AN,40.5,-95.9,0.52
NZ-SA,56,-94,0.72
AN-PA,64.3,-84,0.87
PA-AU,-60.1,-178.3,1.07
EU-PA,61.1,-85.8,0.86
CO-CA,24.1,-119.4,1.31
NZ-CA,56.2,-104.6,0.55
AU-AN,13.2,38.2,0.65
AF-AN,5.6,-39.2,0.13
AU-AF,12.4,49.8,0.63
AU-IN,-5.6,77.1,0.3
IN-AF,23.6,28.5,0.41
AR-AF,24.1,24,0.4
IN-EU,24.4,17.7,0.51
AR-EU,24.6,13.7,0.5
AU-EU,15.1,40.5,0.69
IN-AR,3,91.5,0.03
